Series,Year,calendar year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
4,8,1980,0.1827,0.2785,0.0,-0.1291,-0.1321,-0.0358,0.0341,,,0.191,0.1171,-0.1023,-0.1023,0.1719,-0.0753,0.2094
4,9,1981,-0.1643,-0.1594,0.0,-0.0512,-0.0489,-0.0784,-0.409,,,0.1347,-0.1321,-0.1231,-0.1231,0.1278,-0.1002,0.1499
4,10,1982,0.0888,0.1493,0.0,0.2008,0.1668,-0.0908,0.0454,,,0.1451,-0.1036,-0.0958,-0.0958,0.1454,-0.075,0.1586
5,1,1974,-0.3129,-0.3214,0.0,-0.0543,-0.1134,0.0206,0.5406,,,0.141,-0.2782,-0.0728,-0.0728,-0.0172,0.2764,0.1538
5,2,1975,0.295,0.5063,0.0,-0.0206,0.0497,0.0093,-0.2892,,,0.341,0.296,-0.0547,-0.0547,0.078,0.0965,0.3816
5,3,1976,0.1796,0.4147,0.0,0.1048,0.1407,0.0305,-0.0865,,,0.4318,-0.0118,-0.0474,-0.0474,0.1675,0.0458,0.4835
5,4,1977,-0.1163,0.2414,0.0,-0.0377,0.0446,0.0892,0.1651,,,0.4243,0.1345,-0.05,-0.05,0.2253,0.0157,0.4705
5,5,1978,-0.0063,0.2066,0.0,-0.0743,-0.0377,0.0797,0.2783,,,0.3606,0.253,-0.067,-0.067,0.2344,-0.0177,0.3971
5,6,1979,0.077,0.29,0.0,-0.0852,-0.1096,0.0335,1.0586,,,0.2813,-0.0352,-0.0913,-0.0913,0.2089,-0.0528,0.3095
5,7,1980,0.1827,0.2785,0.0,-0.1291,-0.1321,-0.0358,0.0341,,,0.2257,0.1171,-0.1023,-0.1023,0.1866,-0.0706,0.2481
5,8,1981,-0.1643,-0.1594,0.0,-0.0512,-0.0489,-0.0784,-0.409,,,0.1633,-0.1321,-0.1231,-0.1231,0.1447,-0.0968,0.1813
5,9,1982,0.0888,0.1493,0.0,0.2008,0.1668,-0.0908,0.0454,,,0.17,-0.1036,-0.0958,-0.0958,0.1629,-0.0722,0.1856
5,10,1983,0.1263,0.2508,0.0,-0.0499,0.0697,-0.0356,-0.234,,,0.166,0.1472,-0.0794,-0.0794,0.1663,-0.0582,0.1797
6,1,1975,0.295,0.5063,0.0,-0.0206,0.0497,0.0093,-0.2892,,,0.1632,0.296,-0.0547,-0.0547,0.0019,0.3013,0.1763
6,2,1976,0.1796,0.4147,0.0,0.1048,0.1407,0.0305,-0.0865,,,0.3513,-0.0118,-0.0474,-0.0474,0.0863,0.105,0.3923
6,3,1977,-0.1163,0.2414,0.0,-0.0377,0.0446,0.0892,0.1651,,,0.428,0.1345,-0.05,-0.05,0.1644,0.043,0.4796
6,4,1978,-0.0063,0.2066,0.0,-0.0743,-0.0377,0.0797,0.2783,,,0.3988,0.253,-0.067,-0.067,0.2034,-0.0025,0.4441
6,5,1979,0.077,0.29,0.0,-0.0852,-0.1096,0.0335,1.0586,,,0.3251,-0.0352,-0.0913,-0.0913,0.2022,-0.0433,0.3607
6,6,1980,0.1827,0.2785,0.0,-0.1291,-0.1321,-0.0358,0.0341,,,0.2659,0.1171,-0.1023,-0.1023,0.1944,-0.0642,0.2937
6,7,1981,-0.1643,-0.1594,0.0,-0.0512,-0.0489,-0.0784,-0.409,,,0.1972,-0.1321,-0.1231,-0.1231,0.1591,-0.0922,0.2191
6,8,1982,0.0888,0.1493,0.0,0.2008,0.1668,-0.0908,0.0454,,,0.1995,-0.1036,-0.0958,-0.0958,0.1803,-0.0687,0.2181
6,9,1983,0.1263,0.2508,0.0,-0.0499,0.0697,-0.0356,-0.234,,,0.1913,0.1472,-0.0794,-0.0794,0.1841,-0.0553,0.2072
6,10,1984,-0.0309,-0.2196,0.0,0.0383,0.0555,-0.0444,-0.264,,,0.1562,-0.0153,-0.0871,-0.0871,0.1565,-0.0661,0.1698
7,1,1976,0.1796,0.4147,0.0,0.1048,0.1407,0.0305,-0.0865,,,0.1722,-0.0118,-0.0474,-0.0474,0.0096,0.3113,0.1854
7,2,1977,-0.1163,0.2414,0.0,-0.0377,0.0446,0.0892,0.1651,,,0.3477,0.1345,-0.05,-0.05,0.0834,0.102,0.3886
7,3,1978,-0.0063,0.2066,0.0,-0.0743,-0.0377,0.0797,0.2783,,,0.4024,0.253,-0.067,-0.067,0.1435,0.0244,0.4531
7,4,1979,0.077,0.29,0.0,-0.0852,-0.1096,0.0335,1.0586,,,0.3623,-0.0352,-0.0913,-0.0913,0.172,-0.0285,0.4065
7,5,1980,0.1827,0.2785,0.0,-0.1291,-0.1321,-0.0358,0.0341,,,0.3092,0.1171,-0.1023,-0.1023,0.1877,-0.0549,0.3443
7,6,1981,-0.1643,-0.1594,0.0,-0.0512,-0.0489,-0.0784,-0.409,,,0.2365,-0.1321,-0.1231,-0.1231,0.1666,-0.0859,0.2637
7,7,1982,0.0888,0.1493,0.0,0.2008,0.1668,-0.0908,0.0454,,,0.2344,-0.1036,-0.0958,-0.0958,0.1951,-0.0639,0.2571
7,8,1983,0.1263,0.2508,0.0,-0.0499,0.0697,-0.0356,-0.234,,,0.2213,0.1472,-0.0794,-0.0794,0.2018,-0.0517,0.2403
7,9,1984,-0.0309,-0.2196,0.0,0.0383,0.0555,-0.0444,-0.264,,,0.1813,-0.0153,-0.0871,-0.0871,0.1742,-0.0633,0.1971
7,10,1985,0.2212,0.1644,0.0,0.1697,0.1525,0.0,-0.0137,,,0.1785,0.4583,-0.0695,-0.0695,0.1787,-0.0481,0.1923
8,1,1977,-0.1163,0.2414,0.0,-0.0377,0.0446,0.0892,0.1651,,,0.1691,0.1345,-0.05,-0.05,0.0069,0.3078,0.1822
8,2,1978,-0.0063,0.2066,0.0,-0.0743,-0.0377,0.0797,0.2783,,,0.3236,0.253,-0.067,-0.067,0.064,0.0823,0.3637
8,3,1979,0.077,0.29,0.0,-0.0852,-0.1096,0.0335,1.0586,,,0.3658,-0.0352,-0.0913,-0.0913,0.1137,-0.0024,0.4152
8,4,1980,0.1827,0.2785,0.0,-0.1291,-0.1321,-0.0358,0.0341,,,0.3459,0.1171,-0.1023,-0.1023,0.1579,-0.0402,0.3895
8,5,1981,-0.1643,-0.1594,0.0,-0.0512,-0.0489,-0.0784,-0.409,,,0.2788,-0.1321,-0.1231,-0.1231,0.1601,-0.0768,0.313
8,6,1982,0.0888,0.1493,0.0,0.2008,0.1668,-0.0908,0.0454,,,0.275,-0.1036,-0.0958,-0.0958,0.2029,-0.0575,0.303
8,7,1983,0.1263,0.2508,0.0,-0.0499,0.0697,-0.0356,-0.234,,,0.257,0.1472,-0.0794,-0.0794,0.2169,-0.0469,0.28
8,8,1984,-0.0309,-0.2196,0.0,0.0383,0.0555,-0.0444,-0.264,,,0.2111,-0.0153,-0.0871,-0.0871,0.1917,-0.0597,0.2299
8,9,1985,0.2212,0.1644,0.0,0.1697,0.1525,0.0,-0.0137,,,0.2041,0.4583,-0.0695,-0.0695,0.1968,-0.0452,0.2202
8,10,1986,0.1181,-0.036,0.0,0.1728,0.1451,0.0343,0.1226,,,0.1951,0.6037,-0.0563,-0.0563,0.1954,-0.0346,0.2092
