Series,Year,calendar year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
4,7,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.3653,0.0618,0.0,0.0,0.3218,0.0353,0.3903
4,8,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.3266,0.2443,0.0,0.0,0.3054,0.03,0.3472
4,9,1981,-0.047,-0.0414,0.1404,0.082,0.0846,0.051,-0.326,0.0892,0.0557,0.294,-0.0103,0.0,0.0,0.2862,0.0261,0.3113
4,10,1982,0.2042,0.2711,0.106,0.3281,0.2905,0.0056,0.1562,0.0383,0.0493,0.2665,-0.0086,0.0,0.0,0.2668,0.023,0.2814
5,1,1974,-0.259,-0.2681,0.0785,0.0199,-0.0438,0.1007,0.6615,0.1234,0.0543,0.2306,-0.2215,0.0,0.0,0.0599,0.3766,0.2444
5,2,1975,0.37,0.5935,0.0579,0.0361,0.1105,0.0677,-0.248,0.0694,0.0414,0.4186,0.371,0.0,0.0,0.1404,0.16,0.4616
5,3,1976,0.2383,0.4851,0.0498,0.1598,0.1975,0.0818,-0.041,0.0486,0.0393,0.5031,0.0374,0.0,0.0,0.2256,0.0979,0.5574
5,4,1977,-0.0698,0.3067,0.0526,0.0129,0.0995,0.1465,0.2264,0.067,0.0511,0.4992,0.1942,0.0,0.0,0.2898,0.0691,0.5478
5,5,1978,0.0651,0.2932,0.0718,-0.0078,0.0314,0.1572,0.3701,0.0902,0.0539,0.4583,0.343,0.0,0.0,0.323,0.0528,0.4974
5,6,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.4101,0.0618,0.0,0.0,0.3304,0.0424,0.4411
5,7,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.3653,0.2443,0.0,0.0,0.3218,0.0353,0.3903
5,8,1981,-0.047,-0.0414,0.1404,0.082,0.0846,0.051,-0.326,0.0892,0.0557,0.3266,-0.0103,0.0,0.0,0.3054,0.03,0.3472
5,9,1982,0.2042,0.2711,0.106,0.3281,0.2905,0.0056,0.1562,0.0383,0.0493,0.294,-0.0086,0.0,0.0,0.2862,0.0261,0.3113
5,10,1983,0.2234,0.3586,0.0862,0.032,0.1619,0.0475,-0.168,0.0379,0.0432,0.2665,0.2461,0.0,0.0,0.2668,0.023,0.2814
6,1,1975,0.37,0.5935,0.0579,0.0361,0.1105,0.0677,-0.248,0.0694,0.0414,0.2306,0.371,0.0,0.0,0.0599,0.3766,0.2444
6,2,1976,0.2383,0.4851,0.0498,0.1598,0.1975,0.0818,-0.041,0.0486,0.0393,0.4186,0.0374,0.0,0.0,0.1404,0.16,0.4616
6,3,1977,-0.0698,0.3067,0.0526,0.0129,0.0995,0.1465,0.2264,0.067,0.0511,0.5031,0.1942,0.0,0.0,0.2256,0.0979,0.5574
6,4,1978,0.0651,0.2932,0.0718,-0.0078,0.0314,0.1572,0.3701,0.0902,0.0539,0.4992,0.343,0.0,0.0,0.2898,0.0691,0.5478
6,5,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.4583,0.0618,0.0,0.0,0.323,0.0528,0.4974
6,6,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.4101,0.2443,0.0,0.0,0.3304,0.0424,0.4411
6,7,1981,-0.047,-0.0414,0.1404,0.082,0.0846,0.051,-0.326,0.0892,0.0557,0.3653,-0.0103,0.0,0.0,0.3218,0.0353,0.3903
6,8,1982,0.2042,0.2711,0.106,0.3281,0.2905,0.0056,0.1562,0.0383,0.0493,0.3266,-0.0086,0.0,0.0,0.3054,0.03,0.3472
6,9,1983,0.2234,0.3586,0.0862,0.032,0.1619,0.0475,-0.168,0.0379,0.0432,0.294,0.2461,0.0,0.0,0.2862,0.0261,0.3113
6,10,1984,0.0615,-0.1452,0.0954,0.1373,0.1562,0.0468,-0.1938,0.0395,0.0468,0.2665,0.0786,0.0,0.0,0.2668,0.023,0.2814
7,1,1976,0.2383,0.4851,0.0498,0.1598,0.1975,0.0818,-0.041,0.0486,0.0393,0.2306,0.0374,0.0,0.0,0.0599,0.3766,0.2444
7,2,1977,-0.0698,0.3067,0.0526,0.0129,0.0995,0.1465,0.2264,0.067,0.0511,0.4186,0.1942,0.0,0.0,0.1404,0.16,0.4616
7,3,1978,0.0651,0.2932,0.0718,-0.0078,0.0314,0.1572,0.3701,0.0902,0.0539,0.5031,0.343,0.0,0.0,0.2256,0.0979,0.5574
7,4,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.4992,0.0618,0.0,0.0,0.2898,0.0691,0.5478
7,5,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.4583,0.2443,0.0,0.0,0.323,0.0528,0.4974
7,6,1981,-0.047,-0.0414,0.1404,0.082,0.0846,0.051,-0.326,0.0892,0.0557,0.4101,-0.0103,0.0,0.0,0.3304,0.0424,0.4411
7,7,1982,0.2042,0.2711,0.106,0.3281,0.2905,0.0056,0.1562,0.0383,0.0493,0.3653,-0.0086,0.0,0.0,0.3218,0.0353,0.3903
7,8,1983,0.2234,0.3586,0.0862,0.032,0.1619,0.0475,-0.168,0.0379,0.0432,0.3266,0.2461,0.0,0.0,0.3054,0.03,0.3472
7,9,1984,0.0615,-0.1452,0.0954,0.1373,0.1562,0.0468,-0.1938,0.0395,0.0468,0.294,0.0786,0.0,0.0,0.2862,0.0261,0.3113
7,10,1985,0.3124,0.2514,0.0747,0.2571,0.2386,0.0747,0.06,0.038,0.0388,0.2665,0.5672,0.0,0.0,0.2668,0.023,0.2814
8,1,1977,-0.0698,0.3067,0.0526,0.0129,0.0995,0.1465,0.2264,0.067,0.0511,0.2306,0.1942,0.0,0.0,0.0599,0.3766,0.2444
8,2,1978,0.0651,0.2932,0.0718,-0.0078,0.0314,0.1572,0.3701,0.0902,0.0539,0.4186,0.343,0.0,0.0,0.1404,0.16,0.4616
8,3,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.5031,0.0618,0.0,0.0,0.2256,0.0979,0.5574
8,4,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.4992,0.2443,0.0,0.0,0.2898,0.0691,0.5478
8,5,1981,-0.047,-0.0414,0.1404,0.082,0.0846,0.051,-0.326,0.0892,0.0557,0.4583,-0.0103,0.0,0.0,0.323,0.0528,0.4974
8,6,1982,0.2042,0.2711,0.106,0.3281,0.2905,0.0056,0.1562,0.0383,0.0493,0.4101,-0.0086,0.0,0.0,0.3304,0.0424,0.4411
8,7,1983,0.2234,0.3586,0.0862,0.032,0.1619,0.0475,-0.168,0.0379,0.0432,0.3653,0.2461,0.0,0.0,0.3218,0.0353,0.3903
8,8,1984,0.0615,-0.1452,0.0954,0.1373,0.1562,0.0468,-0.1938,0.0395,0.0468,0.3266,0.0786,0.0,0.0,0.3054,0.03,0.3472
8,9,1985,0.3124,0.2514,0.0747,0.2571,0.2386,0.0747,0.06,0.038,0.0388,0.294,0.5672,0.0,0.0,0.2862,0.0261,0.3113
8,10,1986,0.1849,0.0216,0.0597,0.2428,0.2135,0.0961,0.1896,0.011,0.0338,0.2665,0.6994,0.0,0.0,0.2668,0.023,0.2814
9,1,1978,0.0651,0.2932,0.0718,-0.0078,0.0314,0.1572,0.3701,0.0902,0.0539,0.2306,0.343,0.0,0.0,0.0599,0.3766,0.2444
9,2,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.4186,0.0618,0.0,0.0,0.1404,0.16,0.4616
9,3,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.5031,0.2443,0.0,0.0,0.2256,0.0979,0.5574
9,4,1981,-0.047,-0.0414,0.1404,0.082,0.0846,0.051,-0.326,0.0892,0.0557,0.4992,-0.0103,0.0,0.0,0.2898,0.0691,0.5478
9,5,1982,0.2042,0.2711,0.106,0.3281,0.2905,0.0056,0.1562,0.0383,0.0493,0.4583,-0.0086,0.0,0.0,0.323,0.0528,0.4974
9,6,1983,0.2234,0.3586,0.0862,0.032,0.1619,0.0475,-0.168,0.0379,0.0432,0.4101,0.2461,0.0,0.0,0.3304,0.0424,0.4411
9,7,1984,0.0615,-0.1452,0.0954,0.1373,0.1562,0.0468,-0.1938,0.0395,0.0468,0.3653,0.0786,0.0,0.0,0.3218,0.0353,0.3903
9,8,1985,0.3124,0.2514,0.0747,0.2571,0.2386,0.0747,0.06,0.038,0.0388,0.3266,0.5672,0.0,0.0,0.3054,0.03,0.3472
9,9,1986,0.1849,0.0216,0.0597,0.2428,0.2135,0.0961,0.1896,0.011,0.0338,0.294,0.6994,0.0,0.0,0.2862,0.0261,0.3113
9,10,1987,0.0581,-0.1403,0.0578,-0.0496,0.0281,0.0785,0.2453,0.0443,0.0371,0.2665,0.2493,0.0,0.0,0.2668,0.023,0.2814
10,1,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.2306,0.0618,0.0,0.0,0.0599,0.3766,0.2444
10,2,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.4186,0.2443,0.0,0.0,0.1404,0.16,0.4616
10,3,1981,-0.047,-0.0414,0.1404,0.082,0.0846,0.051,-0.326,0.0892,0.0557,0.5031,-0.0103,0.0,0.0,0.2256,0.0979,0.5574
10,4,1982,0.2042,0.2711,0.106,0.3281,0.2905,0.0056,0.1562,0.0383,0.0493,0.4992,-0.0086,0.0,0.0,0.2898,0.0691,0.5478
10,5,1983,0.2234,0.3586,0.0862,0.032,0.1619,0.0475,-0.168,0.0379,0.0432,0.4583,0.2461,0.0,0.0,0.323,0.0528,0.4974
10,6,1984,0.0615,-0.1452,0.0954,0.1373,0.1562,0.0468,-0.1938,0.0395,0.0468,0.4101,0.0786,0.0,0.0,0.3304,0.0424,0.4411
10,7,1985,0.3124,0.2514,0.0747,0.2571,0.2386,0.0747,0.06,0.038,0.0388,0.3653,0.5672,0.0,0.0,0.3218,0.0353,0.3903
10,8,1986,0.1849,0.0216,0.0597,0.2428,0.2135,0.0961,0.1896,0.011,0.0338,0.3266,0.6994,0.0,0.0,0.3054,0.03,0.3472
10,9,1987,0.0581,-0.1403,0.0578,-0.0496,0.0281,0.0785,0.2453,0.0443,0.0371,0.294,0.2493,0.0,0.0,0.2862,0.0261,0.3113
