Series,Asset,Mean Return,Std Deviation
34-42,S&P 500 (includes dividends),0.10350000000000001,0.15384882532093502
34-42,US Small cap (bottom decile),0.123125,0.2955449576184378
34-42,US T. Bond (10-year),0.039944999999999994,0.07867292368440766
34-42,Baa Corporate Bond,0.06796,0.06773986154477483
34-42,Real Estate,0.02332,0.07074601420798057
34-42,Gold*,0.09466000000000001,0.13675073135568888
34-42,3-month T.Bill,0.0,0.0
34-42,Bitcoin*,0.36186000000000007,0.08764532833498524
34-42,International Stocks,0.080505,0.1904573179840675
34-42,Emerging Markets,0.13115499999999997,0.2926711257852764
34-42,NASDAQ 100,0.157715,0.21990274471133586
34-42,Ethereum,0.24115999999999999,0.08537629031158721
34-42,XRP,0.07963500000000001,0.10769692501596662
34-42,SOL,0.392205,0.10105195367782488
