Series,Asset,Mean Return,Std Deviation
22-30,S&P 500 (includes dividends),0.09435500000000001,0.19600051147892444
22-30,US Small cap (bottom decile),0.15619,0.28905558179772456
22-30,US T. Bond (10-year),0.07891000000000001,0.09459318936204768
22-30,Baa Corporate Bond,0.08278999999999999,0.06447070244447636
22-30,Real Estate,0.045739999999999996,0.06188182625822085
22-30,Gold*,0.04713,0.13541499217318279
22-30,3-month T.Bill,0.03916,0.015525510416221766
22-30,Bitcoin*,0.37723,0.09374020145285081
22-30,International Stocks,0.07054,0.21136857656211516
22-30,Emerging Markets,0.150955,0.37626613967831474
22-30,NASDAQ 100,0.190775,0.45371011133936495
22-30,Ethereum,0.25493,0.08687362933413229
22-30,XRP,0.09131999999999998,0.10579784894838487
22-30,SOL,0.40798999999999996,0.10759508353080079
