Series,Asset,Mean Return,Std Deviation
27-43,S&P 500 (includes dividends),0.11530500000000002,0.15959007182878196
27-43,US Small cap (bottom decile),0.148145,0.25343419882008617
27-43,US T. Bond (10-year),0.02315,0.06798307451897592
27-43,Baa Corporate Bond,0.05073999999999999,0.05652614113469048
27-43,Real Estate,0.057965,0.049540958864995314
27-43,Gold*,0.011110000000000002,0.14463631668866278
27-43,3-month T.Bill,0.0,0.0
27-43,Bitcoin*,0.34930000000000005,0.09152219172936894
27-43,International Stocks,0.064665,0.1666693583905446
27-43,Emerging Markets,0.07066500000000002,0.2537292491385671
27-43,NASDAQ 100,0.19065000000000001,0.3438731704690278
27-43,Ethereum,0.22988,0.09023510578366645
27-43,XRP,0.06915000000000002,0.10286935250214481
27-43,SOL,0.37940000000000007,0.10459091235555995
