Series,Asset,Mean Return,Std Deviation
23-34,S&P 500 (includes dividends),0.08665500000000001,0.16941736838508123
23-34,US Small cap (bottom decile),0.132575,0.28032302959452443
23-34,US T. Bond (10-year),0.04237,0.09443118965123423
23-34,Baa Corporate Bond,0.061540000000000004,0.06116151524748567
23-34,Real Estate,0.004984999999999999,0.06214855949552187
23-34,Gold*,0.050895,0.13383771191849833
23-34,3-month T.Bill,0.005890000000000001,0.019051368233776476
23-34,Bitcoin*,0.34399,0.08897191691764318
23-34,International Stocks,0.06218,0.20063239912573283
23-34,Emerging Markets,0.12656499999999998,0.3509038288927309
23-34,NASDAQ 100,0.16173500000000002,0.3561143345006518
23-34,Ethereum,0.22495500000000002,0.0873490064113647
23-34,XRP,0.06505999999999999,0.10273392510958126
23-34,SOL,0.37398000000000003,0.10220980795454643
