Series,Asset,Mean Return,Std Deviation
34-42,S&P 500 (includes dividends),0.09237500000000001,0.14926195931984812
34-42,US Small cap (bottom decile),0.11155000000000001,0.28994833931872105
34-42,US T. Bond (10-year),0.0301,0.07857830824289735
34-42,Baa Corporate Bond,0.05732999999999999,0.05881341683663686
34-42,Real Estate,0.01345,0.0681914371843207
34-42,Gold*,0.084365,0.13644886944817172
34-42,3-month T.Bill,-0.009435000000000002,0.012618794462396579
34-42,Bitcoin*,0.34928000000000003,0.09306280618344173
34-42,International Stocks,0.069885,0.18788444734099624
34-42,Emerging Markets,0.11997,0.28844965099284614
34-42,NASDAQ 100,0.145775,0.21399976358816258
34-42,Ethereum,0.22962499999999997,0.08839189576449928
34-42,XRP,0.069,0.10199523724690596
34-42,SOL,0.379425,0.10643873886691323
