Series,Asset,Mean Return,Std Deviation
20-32,S&P 500 (includes dividends),0.11708500000000002,0.19459642252080264
20-32,US Small cap (bottom decile),0.154615,0.29696244362048985
20-32,US T. Bond (10-year),0.08113500000000001,0.08839918596314883
20-32,Baa Corporate Bond,0.098415,0.06634426382216675
20-32,Real Estate,0.026635,0.06345721538336303
20-32,Gold*,0.07588500000000001,0.1489559676195408
20-32,3-month T.Bill,0.036649999999999995,0.02237417449226957
20-32,Bitcoin*,0.37723,0.09374020145285081
20-32,International Stocks,0.07133500000000001,0.20978187487558542
20-32,Emerging Markets,0.19147,0.3581692765042515
20-32,NASDAQ 100,0.16992500000000005,0.33358786560507164
20-32,Ethereum,0.25493,0.08687362933413229
20-32,XRP,0.09131999999999998,0.10579784894838487
20-32,SOL,0.40798999999999996,0.10759508353080079
