Series,Asset,Mean Return,Std Deviation
19-35,S&P 500 (includes dividends),0.10067499999999999,0.16064508404030228
19-35,US Small cap (bottom decile),0.100885,0.2457316428331396
19-35,US T. Bond (10-year),0.036199999999999996,0.08735345020752125
19-35,Baa Corporate Bond,0.059204999999999994,0.06917763918462305
19-35,Real Estate,-0.01311,0.06539801944530446
19-35,Gold*,0.0074949999999999965,0.16970671132404003
19-35,3-month T.Bill,0.0,0.0
19-35,Bitcoin*,0.33131,0.08756488060740718
19-35,International Stocks,0.05339999999999999,0.18959282131646452
19-35,Emerging Markets,0.158855,0.3292453803776144
19-35,NASDAQ 100,0.13284,0.2281983956768182
19-35,Ethereum,0.21429499999999999,0.09853300529050633
19-35,XRP,0.054759999999999996,0.0988415499676123
19-35,SOL,0.360925,0.09943202848918292
