Series,Asset,Mean Return,Std Deviation
19-28,S&P 500 (includes dividends),0.14299,0.16976908434694463
19-28,US Small cap (bottom decile),0.177995,0.2554234739140391
19-28,US T. Bond (10-year),0.080595,0.08305723755655683
19-28,Baa Corporate Bond,0.10167,0.0576486189180443
19-28,Real Estate,0.053425,0.04259678607841825
19-28,Gold*,0.009994999999999995,0.1366799506915796
19-28,3-month T.Bill,0.044735000000000004,0.018929377752722434
19-28,Bitcoin*,0.37723,0.09374020145285081
19-28,International Stocks,0.08870999999999998,0.1843448339104562
19-28,Emerging Markets,0.18136,0.3341736397049956
19-28,NASDAQ 100,0.194795,0.3724024598186045
19-28,Ethereum,0.25493,0.08687362933413229
19-28,XRP,0.09131999999999998,0.10579784894838487
19-28,SOL,0.40798999999999996,0.10759508353080079
