Series,Asset,Mean Return,Std Deviation
27-40,S&P 500 (includes dividends),0.09924500000000001,0.1535116949942251
27-40,US Small cap (bottom decile),0.14576499999999998,0.26973684695507055
27-40,US T. Bond (10-year),0.022719999999999997,0.07739771246449627
27-40,Baa Corporate Bond,0.05948,0.06400114801601937
27-40,Real Estate,0.036655,0.049326692624411354
27-40,Gold*,0.025735,0.15586367618092287
27-40,3-month T.Bill,0.0,0.0
27-40,Bitcoin*,0.35083499999999995,0.09314417390035164
27-40,International Stocks,0.05904,0.1785072559339049
27-40,Emerging Markets,0.09420500000000001,0.3055634906460349
27-40,NASDAQ 100,0.173745,0.3460451924775752
27-40,Ethereum,0.23131500000000002,0.0924769232949781
27-40,XRP,0.07021999999999999,0.10230541272916213
27-40,SOL,0.38097,0.10610685329322266
