Series,Asset,Mean Return,Std Deviation
25-36,S&P 500 (includes dividends),0.08169,0.1900006091402978
25-36,US Small cap (bottom decile),0.12114500000000002,0.30019121007328503
25-36,US T. Bond (10-year),0.03377,0.09746113449392073
25-36,Baa Corporate Bond,0.05171,0.06978422306992953
25-36,Real Estate,0.006385,0.0639171772892982
25-36,Gold*,0.04017000000000001,0.1644379553445455
25-36,3-month T.Bill,0.0,0.0
25-36,Bitcoin*,0.340185,0.08568588457727139
25-36,International Stocks,0.041234999999999994,0.20111438817642793
25-36,Emerging Markets,0.066225,0.33330727387170755
25-36,NASDAQ 100,0.15134999999999998,0.3724283209028635
25-36,Ethereum,0.22239499999999998,0.09693191031255964
25-36,XRP,0.06171999999999998,0.09634396493266909
25-36,SOL,0.370015,0.0979953343411388
