Series,Asset,Mean Return,Std Deviation
38-40,S&P 500 (includes dividends),0.09072,0.14829199360862694
38-40,US Small cap (bottom decile),0.093335,0.2571717555806256
38-40,US T. Bond (10-year),0.018304999999999995,0.09097352694747608
38-40,Baa Corporate Bond,0.05535500000000001,0.06656357052512005
38-40,Real Estate,-0.0008850000000000009,0.06397702938925567
38-40,Gold*,0.044829999999999995,0.16399559076229364
38-40,3-month T.Bill,-0.012610000000000001,0.010376030069347331
38-40,Bitcoin*,0.353,0.09404184958668248
38-40,International Stocks,0.03787,0.1781897690370401
38-40,Emerging Markets,0.07572999999999999,0.3082134873581519
38-40,NASDAQ 100,0.141925,0.2001650526177676
38-40,Ethereum,0.233055,0.09005409763025778
38-40,XRP,0.07157,0.09824056456635308
38-40,SOL,0.38322,0.1074215924584801
