Series,Asset,Mean Return,Std Deviation
24-36,S&P 500 (includes dividends),0.07735000000000002,0.18706394206541418
24-36,US Small cap (bottom decile),0.09224000000000002,0.2366887127364592
24-36,US T. Bond (10-year),0.04532499999999999,0.10160267233845667
24-36,Baa Corporate Bond,0.05741,0.06430033887117056
24-36,Real Estate,0.00698,0.06107930651383107
24-36,Gold*,0.04224,0.15416627182500411
24-36,3-month T.Bill,0.005525,0.01899448327111959
24-36,Bitcoin*,0.346415,0.09186330391001163
24-36,International Stocks,0.041925,0.1924653348828795
24-36,Emerging Markets,0.07752,0.34091332067041075
24-36,NASDAQ 100,0.13769000000000003,0.3713863386371607
24-36,Ethereum,0.22715999999999997,0.08941785056687505
24-36,XRP,0.06658,0.09956831878295001
24-36,SOL,0.37645500000000004,0.10513034253274663
