Series,Asset,Mean Return,Std Deviation
33-45,S&P 500 (includes dividends),0.061385,0.17569033246326513
33-45,US Small cap (bottom decile),0.06974,0.28393247974233515
33-45,US T. Bond (10-year),0.017475,0.0976053701876781
33-45,Baa Corporate Bond,0.040955,0.08405045148443191
33-45,Real Estate,0.017389999999999996,0.06753169937927397
33-45,Gold*,0.09874500000000001,0.12178937588700983
33-45,3-month T.Bill,-0.010579999999999999,0.01968990123201017
33-45,Bitcoin*,0.34221999999999997,0.09586874579889232
33-45,International Stocks,0.0417,0.19319566302204175
33-45,Emerging Markets,0.09811499999999998,0.2952951409852077
33-45,NASDAQ 100,0.11011,0.27730816394306473
33-45,Ethereum,0.22251500000000002,0.0818723028483028
33-45,XRP,0.063995,0.1107400202228055
33-45,SOL,0.37222,0.10934443214953958
