Series,Asset,Mean Return,Std Deviation
28-39,S&P 500 (includes dividends),0.10082500000000001,0.184995973996022
28-39,US Small cap (bottom decile),0.15475499999999998,0.29381416159305795
28-39,US T. Bond (10-year),0.053264999999999986,0.0878181091203499
28-39,Baa Corporate Bond,0.080625,0.05750285919664755
28-39,Real Estate,0.048435,0.06484039737369711
28-39,Gold*,0.06122999999999999,0.15351074058086037
28-39,3-month T.Bill,0.01938,0.020645570443738492
28-39,Bitcoin*,0.37723,0.09374020145285081
28-39,International Stocks,0.07447,0.21124941382665482
28-39,Emerging Markets,0.10798999999999999,0.33892783100769247
28-39,NASDAQ 100,0.15890500000000002,0.3795926618377292
28-39,Ethereum,0.25493,0.08687362933413229
28-39,XRP,0.09131999999999998,0.10579784894838487
28-39,SOL,0.40798999999999996,0.10759508353080079
