Series,Asset,Mean Return,Std Deviation
21-35,S&P 500 (includes dividends),0.13959,0.1677735783100169
21-35,US Small cap (bottom decile),0.137655,0.25942345281107687
21-35,US T. Bond (10-year),0.06258500000000002,0.09900014500255197
21-35,Baa Corporate Bond,0.08470000000000001,0.07075643917136112
21-35,Real Estate,0.02189,0.06448696237061778
21-35,Gold*,0.049670000000000006,0.1582086300793321
21-35,3-month T.Bill,0.032005,0.022883537520970925
21-35,Bitcoin*,0.37723,0.09374020145285081
21-35,International Stocks,0.09316500000000001,0.19253275941347858
21-35,Emerging Markets,0.167335,0.353701892432775
21-35,NASDAQ 100,0.24562499999999998,0.33391079785034294
21-35,Ethereum,0.25493,0.08687362933413229
21-35,XRP,0.09131999999999998,0.10579784894838487
21-35,SOL,0.40798999999999996,0.10759508353080079
