Series,Asset,Mean Return,Std Deviation
21-40,S&P 500 (includes dividends),0.132125,0.12154103433127345
21-40,US Small cap (bottom decile),0.12113,0.22990455021709838
21-40,US T. Bond (10-year),0.023719999999999998,0.08880574661348752
21-40,Baa Corporate Bond,0.05977499999999999,0.07400042585225972
21-40,Real Estate,0.003395000000000001,0.04766143177609511
21-40,Gold*,-0.011580000000000003,0.14681342832602917
21-40,3-month T.Bill,0.0,0.0
21-40,Bitcoin*,0.34338,0.10385834786406259
21-40,International Stocks,0.05603499999999999,0.16201848262012059
21-40,Emerging Markets,0.10884500000000001,0.3201570674972225
21-40,NASDAQ 100,0.24562999999999996,0.27950513054325143
21-40,Ethereum,0.22386000000000003,0.09241213408592937
21-40,XRP,0.06382499999999999,0.10274528481945816
21-40,SOL,0.37344999999999995,0.11714866623227088
