Series,Asset,Mean Return,Std Deviation
26-29,S&P 500 (includes dividends),0.10493000000000001,0.18940990387044318
26-29,US Small cap (bottom decile),0.19461,0.3049627378446163
26-29,US T. Bond (10-year),0.07383500000000001,0.08505405881586506
26-29,Baa Corporate Bond,0.08768,0.04709388830612178
26-29,Real Estate,0.07214000000000001,0.046409509007484556
26-29,Gold*,0.06937499999999999,0.13757278982415092
26-29,3-month T.Bill,0.03653,0.01714636987819871
26-29,Bitcoin*,0.37723,0.09374020145285081
26-29,International Stocks,0.09291,0.19904558033935738
26-29,Emerging Markets,0.13238999999999998,0.32665952321226327
26-29,NASDAQ 100,0.20606999999999998,0.48124331421193184
26-29,Ethereum,0.25493,0.08687362933413229
26-29,XRP,0.09131999999999998,0.10579784894838487
26-29,SOL,0.40798999999999996,0.10759508353080079
