Series,Asset,Mean Return,Std Deviation
46,S&P 500 (includes dividends),0.14113,0.1621542341928408
46,US Small cap (bottom decile),0.07035,0.1811513317643566
46,US T. Bond (10-year),0.005710000000000002,0.0804972249349145
46,Baa Corporate Bond,0.0381,0.09068304999036787
46,Real Estate,0.06978,0.04563928132650644
46,Gold*,0.08698999999999998,0.12600820475931981
46,3-month T.Bill,0.01776,0.018869858387268186
46,Bitcoin*,0.37723000000000007,0.09630890174618105
46,International Stocks,0.06528999999999999,0.13753202818899232
46,Emerging Markets,0.05443000000000001,0.18105322759404824
46,NASDAQ 100,0.20268999999999998,0.2583613251501341
46,Ethereum,0.25493,0.08925416952601026
46,XRP,0.09132,0.10869695692357005
46,SOL,0.40799,0.11054343992798084
