Series,Asset,Mean Return,Std Deviation
33-37,S&P 500 (includes dividends),0.06985000000000001,0.19103201577911377
33-37,US Small cap (bottom decile),0.11181999999999999,0.3297735548428409
33-37,US T. Bond (10-year),0.06002999999999999,0.09387769254671068
33-37,Baa Corporate Bond,0.07725,0.06758712505858058
33-37,Real Estate,0.009155000000000005,0.07911279406145713
33-37,Gold*,0.14271999999999999,0.1565881376161849
33-37,3-month T.Bill,0.014485000000000001,0.01778107435626874
33-37,Bitcoin*,0.37723,0.09374020145285081
33-37,International Stocks,0.07164499999999999,0.23169952973397975
33-37,Emerging Markets,0.15459499999999998,0.3677171760370075
33-37,NASDAQ 100,0.109855,0.2734582763806073
33-37,Ethereum,0.25493,0.08687362933413229
33-37,XRP,0.09131999999999998,0.10579784894838487
33-37,SOL,0.40798999999999996,0.10759508353080079
