Series,Asset,Mean Return,Std Deviation
22-37,S&P 500 (includes dividends),0.110895,0.16794899750566508
22-37,US Small cap (bottom decile),0.10686,0.24558010034245556
22-37,US T. Bond (10-year),0.046599999999999996,0.101081040962711
22-37,Baa Corporate Bond,0.058975,0.06945116326561686
22-37,Real Estate,-0.004289999999999998,0.055178885168341824
22-37,Gold*,0.008164999999999997,0.15411806914454293
22-37,3-month T.Bill,0.0061649999999999995,0.019043807530616293
22-37,Bitcoin*,0.34686000000000006,0.09215081688531893
22-37,International Stocks,0.053674999999999994,0.18044161579448992
22-37,Emerging Markets,0.09259999999999999,0.35484759812451433
22-37,NASDAQ 100,0.21173999999999996,0.3408406610287662
22-37,Ethereum,0.22752000000000003,0.0888978278107721
22-37,XRP,0.06698,0.10029034481523082
22-37,SOL,0.376935,0.10552429640409335
