Series,Asset,Mean Return,Std Deviation
35-41,S&P 500 (includes dividends),0.09282,0.1513965431017429
35-41,US Small cap (bottom decile),0.0883,0.24116848009114641
35-41,US T. Bond (10-year),0.024125,0.08255875658870888
35-41,Baa Corporate Bond,0.05032,0.060111279263852326
35-41,Real Estate,0.006855,0.06816400867721446
35-41,Gold*,0.06359999999999999,0.16063383336349982
35-41,3-month T.Bill,-0.009890000000000001,0.012687619327932498
35-41,Bitcoin*,0.34946,0.0932388635935173
35-41,International Stocks,0.06221000000000002,0.17812351391808529
35-41,Emerging Markets,0.09158499999999999,0.27322203863293465
35-41,NASDAQ 100,0.12502,0.19180041051490013
35-41,Ethereum,0.22989000000000007,0.09014612056340295
35-41,XRP,0.069065,0.10135537414671733
35-41,SOL,0.3796,0.10650139114485536
