Series,Asset,Mean Return,Std Deviation
23-44,S&P 500 (includes dividends),0.10918999999999998,0.1599919994710262
23-44,US Small cap (bottom decile),0.10558000000000001,0.2042376108463143
23-44,US T. Bond (10-year),0.015169999999999998,0.09469504572157154
23-44,Baa Corporate Bond,0.036315,0.07929237883999485
23-44,Real Estate,0.032985,0.052867901663635086
23-44,Gold*,-0.024764999999999995,0.12709105428371964
23-44,3-month T.Bill,0.0,0.0
23-44,Bitcoin*,0.34235,0.09466266701459342
23-44,International Stocks,0.034565,0.1576811548830841
23-44,Emerging Markets,0.027895000000000003,0.26923959291816063
23-44,NASDAQ 100,0.17948999999999998,0.337746728372483
23-44,Ethereum,0.22276500000000002,0.08204383472138216
23-44,XRP,0.06416999999999999,0.11050644229850895
23-44,SOL,0.37234,0.10811281339902606
