Series,Asset,Mean Return,Std Deviation
38-41,S&P 500 (includes dividends),0.10700500000000002,0.156735548229964
38-41,US Small cap (bottom decile),0.09015,0.2516608505195247
38-41,US T. Bond (10-year),0.040440000000000004,0.0827419348908018
38-41,Baa Corporate Bond,0.06585,0.07052233315542113
38-41,Real Estate,0.014794999999999999,0.06433732218794772
38-41,Gold*,0.05447500000000001,0.16436860653965973
38-41,3-month T.Bill,0.0,0.0
38-41,Bitcoin*,0.36946,0.10113238535909777
38-41,International Stocks,0.046055000000000006,0.1773958774664881
38-41,Emerging Markets,0.05976,0.27303875452705284
38-41,NASDAQ 100,0.148605,0.19437154457920341
38-41,Ethereum,0.24781,0.0925988399381695
38-41,XRP,0.08431,0.09942205039760123
38-41,SOL,0.4001,0.11486603180730975
