Series,Asset,Mean Return,Std Deviation
20-34,S&P 500 (includes dividends),0.14299,0.169848631991764
20-34,US Small cap (bottom decile),0.142625,0.2988882256753658
20-34,US T. Bond (10-year),0.080295,0.0893933500117083
20-34,Baa Corporate Bond,0.09887,0.06630825224502207
20-34,Real Estate,0.01979,0.06279628634678462
20-34,Gold*,0.071575,0.142628763154377
20-34,3-month T.Bill,0.03421499999999999,0.02465386219342989
20-34,Bitcoin*,0.37723,0.09374020145285081
20-34,International Stocks,0.09285500000000001,0.1975885157407474
20-34,Emerging Markets,0.19588500000000003,0.3603198013388136
20-34,NASDAQ 100,0.21480000000000002,0.28564222008438606
20-34,Ethereum,0.25493,0.08687362933413229
20-34,XRP,0.09131999999999998,0.10579784894838487
20-34,SOL,0.40798999999999996,0.10759508353080079
