Series,Asset,Mean Return,Std Deviation
32-33,S&P 500 (includes dividends),0.022850000000000002,0.20013991027331487
32-33,US Small cap (bottom decile),0.13823999999999997,0.361177115612417
32-33,US T. Bond (10-year),0.04304,0.08627040963706716
32-33,Baa Corporate Bond,0.066445,0.07046166912435069
32-33,Real Estate,0.004645000000000005,0.0857424262421745
32-33,Gold*,0.16525,0.09946129900619638
32-33,3-month T.Bill,0.0,0.0
32-33,Bitcoin*,0.3506000000000001,0.08735214274478482
32-33,International Stocks,0.05719500000000001,0.24576930662502866
32-33,Emerging Markets,0.19452499999999998,0.35954784598524797
32-33,NASDAQ 100,0.045654999999999994,0.31556007931595964
32-33,Ethereum,0.23085000000000006,0.08371280792403463
32-33,XRP,0.070435,0.1029891628177195
32-33,SOL,0.380735,0.10094176682361809
