Series,Asset,Mean Return,Std Deviation
23-41,S&P 500 (includes dividends),0.14017000000000002,0.1446487837196668
23-41,US Small cap (bottom decile),0.133895,0.19502806134124984
23-41,US T. Bond (10-year),0.061395,0.08857484183030279
23-41,Baa Corporate Bond,0.08088500000000001,0.06544805312532022
23-41,Real Estate,0.0412,0.037370379489080584
23-41,Gold*,0.013169999999999998,0.13296050897679512
23-41,3-month T.Bill,0.025275,0.021852155740940432
23-41,Bitcoin*,0.37723,0.09374020145285081
23-41,International Stocks,0.065405,0.15985174866929538
23-41,Emerging Markets,0.06559499999999999,0.27628630740211274
23-41,NASDAQ 100,0.20942,0.32691866459894564
23-41,Ethereum,0.25493,0.08687362933413229
23-41,XRP,0.09131999999999998,0.10579784894838487
23-41,SOL,0.40798999999999996,0.10759508353080079
