Series,Asset,Mean Return,Std Deviation
41-43,S&P 500 (includes dividends),0.148455,0.11823939798917324
41-43,US Small cap (bottom decile),0.12008,0.19966241667269016
41-43,US T. Bond (10-year),0.028790000000000003,0.066495190961848
41-43,Baa Corporate Bond,0.060855000000000006,0.06397877505778567
41-43,Real Estate,0.05125500000000001,0.05049644568002574
41-43,Gold*,0.029589999999999995,0.14938209185983792
41-43,3-month T.Bill,0.0,0.0
41-43,Bitcoin*,0.36966000000000004,0.09794432038018766
41-43,International Stocks,0.074835,0.13572538557496783
41-43,Emerging Markets,0.05643500000000001,0.16998765984623707
41-43,NASDAQ 100,0.19368999999999997,0.14430887159510544
41-43,Ethereum,0.24756999999999998,0.08388337204275444
41-43,XRP,0.08541499999999999,0.108911206107496
41-43,SOL,0.4003,0.1119451040277755
