Series,Asset,Mean Return,Std Deviation
21-22,S&P 500 (includes dividends),0.131155,0.13368450870770723
21-22,US Small cap (bottom decile),0.11526500000000002,0.20954819135463806
21-22,US T. Bond (10-year),0.034125,0.09622205609395057
21-22,Baa Corporate Bond,0.04865,0.06997486390803034
21-22,Real Estate,-0.014910000000000001,0.029027788863704197
21-22,Gold*,-0.071845,0.09527292361255747
21-22,3-month T.Bill,0.0,0.0
21-22,Bitcoin*,0.31521999999999994,0.09882568705074928
21-22,International Stocks,0.041755,0.15432560409390064
21-22,Emerging Markets,0.09776,0.35791543017575356
21-22,NASDAQ 100,0.29358499999999993,0.36858469179595044
21-22,Ethereum,0.198085,0.08572081534966013
21-22,XRP,0.04139,0.09658123877964356
21-22,SOL,0.34468,0.11231557796063546
