Series,Asset,Mean Return,Std Deviation
22-36,S&P 500 (includes dividends),0.11125,0.16772407321801514
22-36,US Small cap (bottom decile),0.11204,0.24208376192853928
22-36,US T. Bond (10-year),0.04606,0.10134067817333561
22-36,Baa Corporate Bond,0.06099,0.06753325029003744
22-36,Real Estate,-0.001624999999999999,0.058816403682180905
22-36,Gold*,0.02148,0.15328163483910057
22-36,3-month T.Bill,0.0063750000000000005,0.01891604373346382
22-36,Bitcoin*,0.34511499999999995,0.09222347158140554
22-36,International Stocks,0.059355000000000005,0.18008290334994984
22-36,Emerging Markets,0.115255,0.3528542571881335
22-36,NASDAQ 100,0.20698499999999997,0.34348126781835614
22-36,Ethereum,0.22596500000000003,0.0895534258359074
22-36,XRP,0.065515,0.09927961191556535
22-36,SOL,0.37513,0.10546726656071767
