Series,Asset,Mean Return,Std Deviation
42-45,S&P 500 (includes dividends),0.111725,0.1350557384934087
42-45,US Small cap (bottom decile),0.06198,0.19329841832336805
42-45,US T. Bond (10-year),0.01016,0.08559825010508469
42-45,Baa Corporate Bond,0.037309999999999996,0.08432148942557506
42-45,Real Estate,0.038005000000000004,0.038587323729841375
42-45,Gold*,0.027949999999999996,0.1289399595078839
42-45,3-month T.Bill,-0.01291,0.016954704361916782
42-45,Bitcoin*,0.3474,0.10117558473944403
42-45,International Stocks,0.039565,0.1389742205363434
42-45,Emerging Markets,0.02683,0.17759013160112602
42-45,NASDAQ 100,0.17364000000000002,0.2097653536191031
42-45,Ethereum,0.227075,0.08404555703839874
42-45,XRP,0.06767000000000001,0.10874721097452038
42-45,SOL,0.37757000000000007,0.11487628173501767
