Series,Asset,Mean Return,Std Deviation
19-38,S&P 500 (includes dividends),0.10756000000000002,0.1646166788249855
19-38,US Small cap (bottom decile),0.09414499999999999,0.24681882653391526
19-38,US T. Bond (10-year),0.04667499999999999,0.09348479119199296
19-38,Baa Corporate Bond,0.06756,0.06936818169433986
19-38,Real Estate,-0.011965,0.052935793034680476
19-38,Gold*,-0.009945000000000006,0.15450523232495875
19-38,3-month T.Bill,0.003934999999999999,0.01921422923937252
19-38,Bitcoin*,0.34228000000000003,0.0910033058971515
19-38,International Stocks,0.029435000000000006,0.18012102736771182
19-38,Emerging Markets,0.119515,0.33350138210871183
19-38,NASDAQ 100,0.148335,0.2263308948722737
19-38,Ethereum,0.22364,0.09205486579094814
19-38,XRP,0.06312,0.09630262389167313
19-38,SOL,0.37222999999999995,0.10397494181924695
