Series,Asset,Mean Return,Std Deviation
21-24,S&P 500 (includes dividends),0.149415,0.17603965245603648
21-24,US Small cap (bottom decile),0.146135,0.2125931827272579
21-24,US T. Bond (10-year),0.08166500000000002,0.10192088404867354
21-24,Baa Corporate Bond,0.093795,0.06989999981176116
21-24,Real Estate,0.039785,0.030814474982077053
21-24,Gold*,-0.007750000000000007,0.11206167709651774
21-24,3-month T.Bill,0.04580000000000001,0.012570726227817422
21-24,Bitcoin*,0.37723,0.09374020145285081
21-24,International Stocks,0.07191,0.17265858888508695
21-24,Emerging Markets,0.10871000000000001,0.3572937489694321
21-24,NASDAQ 100,0.28322499999999995,0.43444283843610665
21-24,Ethereum,0.25493,0.08687362933413229
21-24,XRP,0.09131999999999998,0.10579784894838487
21-24,SOL,0.40798999999999996,0.10759508353080079
